date,bitcoin
2017-09-10,17
2017-09-17,12
2017-09-24,10
2017-10-01,9
2017-10-08,16
2017-10-15,17
2017-10-22,17
2017-10-29,26
2017-11-05,25
2017-11-12,25
2017-11-19,22
2017-11-26,57
2017-12-03,100
2017-12-10,90
2017-12-17,98
2017-12-24,64
2017-12-31,43
2018-01-07,42
2018-01-14,60
2018-01-21,35
2018-01-28,42
2018-02-04,48
2018-02-11,25
2018-02-18,22
2018-02-25,18
2018-03-04,18
2018-03-11,20
2018-03-18,18
2018-03-25,17
2018-04-01,17
2018-04-08,14
2018-04-15,13
2018-04-22,13
2018-04-29,11
2018-05-06,11
2018-05-13,10
2018-05-20,9
2018-05-27,9
2018-06-03,8
2018-06-10,12
2018-06-17,10
2018-06-24,10
2018-07-01,9
2018-07-08,8
2018-07-15,9
2018-07-22,10
2018-07-29,8
2018-08-05,9
2018-08-12,9
2018-08-19,9
2018-08-26,8
2018-09-02,9
2018-09-09,9
2018-09-16,8
2018-09-23,8
2018-09-30,6
2018-10-07,7
2018-10-14,6
2018-10-21,6
2018-10-28,6
2018-11-04,6
2018-11-11,9
2018-11-18,12
2018-11-25,11
2018-12-02,10
2018-12-09,10
2018-12-16,10
2018-12-23,8
2018-12-30,7
2019-01-06,7
2019-01-13,6
2019-01-20,6
2019-01-27,6
2019-02-03,8
2019-02-10,6
2019-02-17,6
2019-02-24,6
2019-03-03,6
2019-03-10,6
2019-03-17,6
2019-03-24,5
2019-03-31,9
2019-04-07,8
2019-04-14,7
2019-04-21,7
2019-04-28,6
2019-05-05,8
2019-05-12,16
2019-05-19,10
2019-05-26,11
2019-06-02,9
2019-06-09,8
2019-06-16,13
2019-06-23,18
2019-06-30,13
2019-07-07,12
2019-07-14,12
2019-07-21,9
2019-07-28,9
2019-08-04,11
2019-08-11,9
2019-08-18,8
2019-08-25,7
2019-09-01,8
2019-09-08,7
2019-09-15,7
2019-09-22,9
2019-09-29,7
2019-10-06,6
2019-10-13,7
2019-10-20,7
2019-10-27,8
2019-11-03,7
2019-11-10,6
2019-11-17,7
2019-11-24,7
2019-12-01,6
2019-12-08,6
2019-12-15,7
2019-12-22,6
2019-12-29,6
2020-01-05,7
2020-01-12,7
2020-01-19,7
2020-01-26,7
2020-02-02,8
2020-02-09,9
2020-02-16,8
2020-02-23,9
2020-03-01,7
2020-03-08,15
2020-03-15,15
2020-03-22,11
2020-03-29,9
2020-04-05,9
2020-04-12,10
2020-04-19,10
2020-04-26,11
2020-05-03,14
2020-05-10,16
2020-05-17,11
2020-05-24,9
2020-05-31,9
2020-06-07,8
2020-06-14,7
2020-06-21,7
2020-06-28,6
2020-07-05,6
2020-07-12,8
2020-07-19,7
2020-07-26,13
2020-08-02,12
2020-08-09,10
2020-08-16,10
2020-08-23,9
2020-08-30,9
2020-09-06,8
2020-09-13,7
2020-09-20,7
2020-09-27,7
2020-10-04,7
2020-10-11,8
2020-10-18,13
2020-10-25,13
2020-11-01,14
2020-11-08,15
2020-11-15,19
2020-11-22,21
2020-11-29,20
2020-12-06,17
2020-12-13,27
2020-12-20,26
2020-12-27,42
2021-01-03,69
2021-01-10,72
2021-01-17,47
2021-01-24,43
2021-01-31,36
2021-02-07,68
2021-02-14,71
2021-02-21,76
2021-02-28,53
2021-03-07,49
2021-03-14,47
2021-03-21,42
2021-03-28,37
2021-04-04,29
2021-04-11,43
2021-04-18,53
2021-04-25,41
2021-05-02,35
2021-05-09,54
2021-05-16,80
2021-05-23,56
2021-05-30,33
2021-06-06,40
2021-06-13,27
2021-06-20,35
2021-06-27,24
2021-07-04,21
2021-07-11,20
2021-07-18,24
2021-07-25,29
2021-08-01,24
2021-08-08,28
2021-08-15,24
2021-08-22,22
2021-08-29,21
2021-09-05,27
2021-09-12,21
2021-09-19,23
2021-09-26,21
2021-10-03,24
2021-10-10,31
2021-10-17,39
2021-10-24,28
2021-10-31,24
2021-11-07,29
2021-11-14,28
2021-11-21,25
2021-11-28,30
2021-12-05,36
2021-12-12,26
2021-12-19,24
2021-12-26,23
2022-01-02,27
2022-01-09,27
2022-01-16,30
2022-01-23,39
2022-01-30,27
2022-02-06,25
2022-02-13,22
2022-02-20,30
2022-02-27,25
2022-03-06,22
2022-03-13,20
2022-03-20,19
2022-03-27,21
2022-04-03,16
2022-04-10,19
2022-04-17,17
2022-04-24,16
2022-05-01,17
2022-05-08,42
2022-05-15,25
2022-05-22,20
2022-05-29,19
2022-06-05,17
2022-06-12,54
2022-06-19,37
2022-06-26,28
2022-07-03,24
2022-07-10,21
2022-07-17,21
2022-07-24,19
2022-07-31,16
2022-08-07,18
2022-08-14,18
2022-08-21,17
2022-08-28,17
